NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709	REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709		43	-0.5693352	-1.6975908	0.0	0.019700803	0.995	2096	tags=44%, list=26%, signal=59%	
ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN%GOBP%GO:0019883	ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN%GOBP%GO:0019883		18	-0.69290906	-1.6941397	0.009302326	0.020520933	0.996	484	tags=22%, list=6%, signal=24%	
TRANSLESION SYNTHESIS BY POLI%REACTOME DATABASE ID RELEASE 81%5656121	TRANSLESION SYNTHESIS BY POLI%REACTOME DATABASE ID RELEASE 81%5656121		17	-0.70881426	-1.6940156	0.004784689	0.020466855	0.996	1026	tags=41%, list=13%, signal=47%	
RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS%REACTOME DATABASE ID RELEASE 81%8939236	RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS%REACTOME DATABASE ID RELEASE 81%8939236		57	-0.54007906	-1.6923487	0.0	0.020804781	0.996	1422	tags=47%, list=17%, signal=57%	
TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.6	TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.6		42	-0.58457905	-1.6891959	0.002770083	0.02153604	0.997	2264	tags=57%, list=28%, signal=79%	
MATURATION OF SSU-RRNA%GOBP%GO:0030490	MATURATION OF SSU-RRNA%GOBP%GO:0030490		37	-0.5968098	-1.68887	0.0	0.02153935	0.997	1571	tags=51%, list=19%, signal=63%	
PERK REGULATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 81%381042	PERK REGULATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 81%381042		22	-0.64789593	-1.6848133	0.0070921984	0.022523267	0.998	1840	tags=64%, list=22%, signal=82%	
MITOTIC METAPHASE AND ANAPHASE%REACTOME DATABASE ID RELEASE 81%2555396	MITOTIC METAPHASE AND ANAPHASE%REACTOME DATABASE ID RELEASE 81%2555396		172	-0.4570503	-1.6841483	0.0	0.022576913	0.998	1776	tags=33%, list=22%, signal=41%	
DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME%R-HSA-195253.4	DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME%R-HSA-195253.4		69	-0.514313	-1.683866	0.0	0.022603758	0.999	1422	tags=39%, list=17%, signal=47%	
TRANSLESION SYNTHESIS BY REV1%REACTOME%R-HSA-110312.3	TRANSLESION SYNTHESIS BY REV1%REACTOME%R-HSA-110312.3		16	-0.72322726	-1.6809	0.0023584906	0.023330947	0.999	1026	tags=44%, list=13%, signal=50%	
LEUKOCYTE PROLIFERATION%GOBP%GO:0070661	LEUKOCYTE PROLIFERATION%GOBP%GO:0070661		23	-0.65165323	-1.677152	0.010335918	0.024403373	0.999	1632	tags=43%, list=20%, signal=54%	
MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032943	MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032943		22	-0.6536296	-1.6761822	0.014354067	0.024612797	1.0	1632	tags=45%, list=20%, signal=57%	
NEP NS2 INTERACTS WITH THE CELLULAR EXPORT MACHINERY%REACTOME DATABASE ID RELEASE 81%168333	NEP NS2 INTERACTS WITH THE CELLULAR EXPORT MACHINERY%REACTOME DATABASE ID RELEASE 81%168333		26	-0.6211842	-1.6739804	0.0119904075	0.025157081	1.0	2645	tags=73%, list=32%, signal=108%	
HEDGEHOG LIGAND BIOGENESIS%REACTOME DATABASE ID RELEASE 81%5358346	HEDGEHOG LIGAND BIOGENESIS%REACTOME DATABASE ID RELEASE 81%5358346		49	-0.56563497	-1.6729069	0.0026954177	0.02541879	1.0	1422	tags=55%, list=17%, signal=66%	
DISEASES OF DNA REPAIR%REACTOME%R-HSA-9675135.6	DISEASES OF DNA REPAIR%REACTOME%R-HSA-9675135.6		35	-0.5877583	-1.6728175	0.010335918	0.025348071	1.0	2274	tags=43%, list=28%, signal=59%	
MATURATION OF 5.8S RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, 5.8S RRNA, LSU-RRNA)%GOBP%GO:0000466	MATURATION OF 5.8S RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, 5.8S RRNA, LSU-RRNA)%GOBP%GO:0000466		16	-0.7216866	-1.6676586	0.004830918	0.02695147	1.0	1216	tags=50%, list=15%, signal=59%	
MITOCHONDRIAL PROTEIN DEGRADATION%REACTOME%R-HSA-9837999.2	MITOCHONDRIAL PROTEIN DEGRADATION%REACTOME%R-HSA-9837999.2		70	-0.51102185	-1.6659844	0.006289308	0.027384676	1.0	2072	tags=49%, list=25%, signal=64%	
INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME%R-HSA-177243.4	INTERACTIONS OF REV WITH HOST CELLULAR PROTEINS%REACTOME%R-HSA-177243.4		31	-0.5984133	-1.6658462	0.0026954177	0.02731063	1.0	2645	tags=65%, list=32%, signal=95%	
MITOTIC ANAPHASE%REACTOME DATABASE ID RELEASE 81%68882	MITOTIC ANAPHASE%REACTOME DATABASE ID RELEASE 81%68882		172	-0.4570503	-1.6639026	0.0	0.027835146	1.0	1776	tags=33%, list=22%, signal=41%	
HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.5	HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.5		28	-0.6110415	-1.6540879	0.002538071	0.031038322	1.0	2274	tags=50%, list=28%, signal=69%	
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, EXONUCLEOLYTIC%GOBP%GO:0000291	NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, EXONUCLEOLYTIC%GOBP%GO:0000291		15	-0.69988924	-1.6504537	0.0093240095	0.032315955	1.0	1482	tags=47%, list=18%, signal=57%	
TRNA PROCESSING%GOBP%GO:0008033	TRNA PROCESSING%GOBP%GO:0008033		67	-0.50796026	-1.6504532	0.0	0.03219401	1.0	2368	tags=52%, list=29%, signal=73%	
APC C:CDC20 MEDIATED DEGRADATION OF CYCLIN B%REACTOME%R-HSA-174048.4	APC C:CDC20 MEDIATED DEGRADATION OF CYCLIN B%REACTOME%R-HSA-174048.4		21	-0.66043967	-1.64892	0.016786572	0.032684308	1.0	1033	tags=33%, list=13%, signal=38%	
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 81%69620	CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 81%69620		182	-0.44119996	-1.6482476	0.0	0.032789763	1.0	2004	tags=38%, list=24%, signal=50%	
T CELL ACTIVATION%GOBP%GO:0042110	T CELL ACTIVATION%GOBP%GO:0042110		102	-0.48170668	-1.6473472	0.0	0.033059075	1.0	1832	tags=50%, list=22%, signal=64%	
FORMATION OF TC-NER PRE-INCISION COMPLEX%REACTOME DATABASE ID RELEASE 81%6781823	FORMATION OF TC-NER PRE-INCISION COMPLEX%REACTOME DATABASE ID RELEASE 81%6781823		43	-0.55825424	-1.6466963	0.008645534	0.03313808	1.0	2756	tags=58%, list=34%, signal=87%	
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.5	G2 M CHECKPOINTS%REACTOME%R-HSA-69481.5		96	-0.48124635	-1.6452742	0.0	0.03356679	1.0	1457	tags=40%, list=18%, signal=48%	
SARS-COV-1 ACTIVATES MODULATES INNATE IMMUNE RESPONSES%REACTOME%R-HSA-9692916.2	SARS-COV-1 ACTIVATES MODULATES INNATE IMMUNE RESPONSES%REACTOME%R-HSA-9692916.2		34	-0.5961943	-1.644651	0.002570694	0.033638727	1.0	2201	tags=50%, list=27%, signal=68%	
POSITIVE REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030890	POSITIVE REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030890		16	-0.7150417	-1.6432807	0.008547009	0.034060407	1.0	442	tags=25%, list=5%, signal=26%	
U12 DEPENDENT SPLICING%REACTOME DATABASE ID RELEASE 81%72165	U12 DEPENDENT SPLICING%REACTOME DATABASE ID RELEASE 81%72165		48	-0.5421112	-1.6386672	0.0029411765	0.035747327	1.0	1441	tags=42%, list=18%, signal=50%	
LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651	LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651		22	-0.6536296	-1.6383929	0.012468828	0.035724632	1.0	1632	tags=45%, list=20%, signal=57%	
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556		70	-0.5167007	-1.638098	0.0	0.035735242	1.0	1594	tags=47%, list=19%, signal=58%	
T CELL DIFFERENTIATION%GOBP%GO:0030217	T CELL DIFFERENTIATION%GOBP%GO:0030217		49	-0.5392401	-1.6365058	0.0028089888	0.036250994	1.0	1765	tags=49%, list=22%, signal=62%	
UBIQUITIN–PROTEASOME PATHWAY%SMPDB%SMP0063816	UBIQUITIN–PROTEASOME PATHWAY%SMPDB%SMP0063816		23	-0.6425059	-1.6340952	0.004889976	0.037147526	1.0	1034	tags=61%, list=13%, signal=69%	
NUCLEAR IMPORT OF REV PROTEIN%REACTOME%R-HSA-180746.3	NUCLEAR IMPORT OF REV PROTEIN%REACTOME%R-HSA-180746.3		28	-0.6109453	-1.6330034	0.013368984	0.037498135	1.0	2645	tags=68%, list=32%, signal=100%	
PD-1 SIGNALING%REACTOME DATABASE ID RELEASE 81%389948	PD-1 SIGNALING%REACTOME DATABASE ID RELEASE 81%389948		15	-0.6999134	-1.6316508	0.018099548	0.037971735	1.0	1106	tags=73%, list=14%, signal=85%	
REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001914	REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001914		24	-0.6373122	-1.6288805	0.0075949365	0.03888935	1.0	1088	tags=38%, list=13%, signal=43%	
ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002483	ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002483		15	-0.6986256	-1.6280684	0.009367681	0.039082084	1.0	484	tags=20%, list=6%, signal=21%	
NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033046	NEGATIVE REGULATION OF SISTER CHROMATID SEGREGATION%GOBP%GO:0033046		15	-0.69719476	-1.627022	0.011600928	0.03939421	1.0	853	tags=27%, list=10%, signal=30%	
ALLOGRAFT REJECTION%WIKIPATHWAYS_20240310%WP2328%HOMO SAPIENS	ALLOGRAFT REJECTION%WIKIPATHWAYS_20240310%WP2328%HOMO SAPIENS		33	-0.5805077	-1.6268713	0.002631579	0.03935949	1.0	1106	tags=33%, list=14%, signal=38%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION		104	-0.47081128	-1.6264112	0.0	0.039394803	1.0	481	tags=24%, list=6%, signal=25%	
MRNA METABOLIC PROCESS%GOBP%GO:0016071	MRNA METABOLIC PROCESS%GOBP%GO:0016071		349	-0.41090658	-1.6206361	0.0	0.04167306	1.0	1833	tags=38%, list=22%, signal=47%	
DISEASES OF DNA DOUBLE-STRAND BREAK REPAIR%REACTOME DATABASE ID RELEASE 81%9675136	DISEASES OF DNA DOUBLE-STRAND BREAK REPAIR%REACTOME DATABASE ID RELEASE 81%9675136		28	-0.6110415	-1.6205422	0.005063291	0.04158048	1.0	2274	tags=50%, list=28%, signal=69%	
TRNA METABOLIC PROCESS%GOBP%GO:0006399	TRNA METABOLIC PROCESS%GOBP%GO:0006399		98	-0.48566014	-1.6192261	0.0	0.042036593	1.0	3097	tags=67%, list=38%, signal=107%	
DEFECTIVE HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO BRCA2 LOSS OF FUNCTION%REACTOME DATABASE ID RELEASE 81%9701190	DEFECTIVE HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO BRCA2 LOSS OF FUNCTION%REACTOME DATABASE ID RELEASE 81%9701190		28	-0.6110415	-1.6187551	0.008	0.04209887	1.0	2274	tags=50%, list=28%, signal=69%	
HDR THROUGH SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5685938.3	HDR THROUGH SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5685938.3		26	-0.6089223	-1.6171243	0.0050125313	0.04272887	1.0	2274	tags=46%, list=28%, signal=64%	
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033048	NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033048		15	-0.69719476	-1.6164588	0.015521064	0.04289005	1.0	853	tags=27%, list=10%, signal=30%	
PROTEIN LOCALIZATION%REACTOME DATABASE ID RELEASE 81%9609507	PROTEIN LOCALIZATION%REACTOME DATABASE ID RELEASE 81%9609507		106	-0.46738142	-1.6163515	0.004	0.042792022	1.0	1793	tags=39%, list=22%, signal=49%	
IMMUNE RESPONSE%GOBP%GO:0006955	IMMUNE RESPONSE%GOBP%GO:0006955		410	-0.40621087	-1.6161745	0.0	0.042697515	1.0	1818	tags=36%, list=22%, signal=43%	
MITOTIC SPINDLE ASSEMBLY CHECKPOINT SIGNALING%GOBP%GO:0007094	MITOTIC SPINDLE ASSEMBLY CHECKPOINT SIGNALING%GOBP%GO:0007094		15	-0.69719476	-1.6147013	0.0064655175	0.043205865	1.0	853	tags=27%, list=10%, signal=30%	
IMPAIRED BRCA2 BINDING TO RAD51%REACTOME DATABASE ID RELEASE 81%9709570	IMPAIRED BRCA2 BINDING TO RAD51%REACTOME DATABASE ID RELEASE 81%9709570		26	-0.6190447	-1.6146193	0.010416667	0.043082956	1.0	2274	tags=50%, list=28%, signal=69%	
KILLING OF CELLS OF ANOTHER ORGANISM%GOBP%GO:0031640	KILLING OF CELLS OF ANOTHER ORGANISM%GOBP%GO:0031640		16	-0.6750683	-1.6132582	0.011494253	0.04353843	1.0	601	tags=38%, list=7%, signal=40%	
SARS-COV INFECTIONS%REACTOME DATABASE ID RELEASE 81%9679506	SARS-COV INFECTIONS%REACTOME DATABASE ID RELEASE 81%9679506		307	-0.41667888	-1.6124736	0.0	0.043726236	1.0	771	tags=22%, list=9%, signal=24%	
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	TRANSLATIONAL ELONGATION%GOBP%GO:0006414		38	-0.56599253	-1.6122688	0.011111111	0.04368706	1.0	2304	tags=47%, list=28%, signal=66%	
MITOTIC SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0071174	MITOTIC SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0071174		15	-0.69719476	-1.6099991	0.0121951215	0.044535503	1.0	853	tags=27%, list=10%, signal=30%	
SARS-COV-2 INFECTION%REACTOME DATABASE ID RELEASE 81%9694516	SARS-COV-2 INFECTION%REACTOME DATABASE ID RELEASE 81%9694516		206	-0.42788357	-1.6098766	0.0	0.0444434	1.0	1201	tags=30%, list=15%, signal=34%	
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816	NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816		15	-0.69719476	-1.6090583	0.0023148148	0.044670727	1.0	853	tags=27%, list=10%, signal=30%	
EXPORT OF VIRAL RIBONUCLEOPROTEINS FROM NUCLEUS%REACTOME%R-HSA-168274.5	EXPORT OF VIRAL RIBONUCLEOPROTEINS FROM NUCLEUS%REACTOME%R-HSA-168274.5		26	-0.6211842	-1.6076255	0.0074626864	0.045265157	1.0	2645	tags=73%, list=32%, signal=108%	
PRESYNAPTIC PHASE OF HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693616.6	PRESYNAPTIC PHASE OF HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693616.6		27	-0.60680276	-1.6072242	0.015037594	0.045276195	1.0	2274	tags=48%, list=28%, signal=66%	
RRNA METHYLATION%GOBP%GO:0031167	RRNA METHYLATION%GOBP%GO:0031167		15	-0.68673	-1.6064689	0.023201857	0.045442805	1.0	2378	tags=80%, list=29%, signal=113%	
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460		55	-0.5265535	-1.6061491	0.0029239766	0.045463976	1.0	1597	tags=42%, list=19%, signal=52%	
REV-MEDIATED NUCLEAR EXPORT OF HIV RNA%REACTOME DATABASE ID RELEASE 81%165054	REV-MEDIATED NUCLEAR EXPORT OF HIV RNA%REACTOME DATABASE ID RELEASE 81%165054		29	-0.59804684	-1.6045138	0.007894737	0.046040535	1.0	2645	tags=66%, list=32%, signal=96%	
DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 81%1168372	DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 81%1168372		69	-0.49393383	-1.603624	0.0034129692	0.04627299	1.0	1422	tags=39%, list=17%, signal=47%	
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699	POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699		98	-0.46784934	-1.6034305	0.0	0.046241146	1.0	1751	tags=37%, list=21%, signal=46%	
POSITIVE REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050766	POSITIVE REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050766		33	-0.57547593	-1.6014436	0.013623978	0.047142215	1.0	1600	tags=42%, list=20%, signal=53%	
SPINDLE ASSEMBLY CHECKPOINT SIGNALING%GOBP%GO:0071173	SPINDLE ASSEMBLY CHECKPOINT SIGNALING%GOBP%GO:0071173		15	-0.69719476	-1.6008508	0.013605442	0.047261596	1.0	853	tags=27%, list=10%, signal=30%	
DISRUPTION OF CELL IN ANOTHER ORGANISM%GOBP%GO:0141061	DISRUPTION OF CELL IN ANOTHER ORGANISM%GOBP%GO:0141061		16	-0.6750683	-1.5996362	0.022371365	0.047711305	1.0	601	tags=38%, list=7%, signal=40%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206		42	-0.5336301	-1.595928	0.010781671	0.0492794	1.0	1446	tags=45%, list=18%, signal=55%	
DNA REPAIR PATHWAYS FULL NETWORK%WIKIPATHWAYS_20240310%WP4946%HOMO SAPIENS	DNA REPAIR PATHWAYS FULL NETWORK%WIKIPATHWAYS_20240310%WP4946%HOMO SAPIENS		68	-0.50127673	-1.5940952	0.010135135	0.050104596	1.0	2739	tags=53%, list=33%, signal=79%	
DEFECTIVE TPR MAY CONFER SUSCEPTIBILITY TOWARDS THYROID PAPILLARY CARCINOMA (TPC)%REACTOME%R-HSA-5619107.4	DEFECTIVE TPR MAY CONFER SUSCEPTIBILITY TOWARDS THYROID PAPILLARY CARCINOMA (TPC)%REACTOME%R-HSA-5619107.4		24	-0.61161315	-1.5933107	0.017412934	0.050301865	1.0	2645	tags=71%, list=32%, signal=104%	
REGULATION OF PTEN STABILITY AND ACTIVITY%REACTOME DATABASE ID RELEASE 81%8948751	REGULATION OF PTEN STABILITY AND ACTIVITY%REACTOME DATABASE ID RELEASE 81%8948751		55	-0.5176885	-1.5929441	0.00887574	0.050349947	1.0	1422	tags=47%, list=17%, signal=57%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE		123	-0.45508388	-1.5918927	0.0	0.050721783	1.0	1526	tags=25%, list=19%, signal=31%	
REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901796	REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901796		53	-0.51611054	-1.5884541	0.006116208	0.052422162	1.0	367	tags=25%, list=4%, signal=26%	
REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%R-HSA-170822.5	REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%R-HSA-170822.5		24	-0.61161315	-1.5857191	0.009925558	0.05366157	1.0	2645	tags=71%, list=32%, signal=104%	
REGULATION OF CELL CYCLE CHECKPOINT%GOBP%GO:1901976	REGULATION OF CELL CYCLE CHECKPOINT%GOBP%GO:1901976		25	-0.5909035	-1.5846709	0.017199017	0.054078024	1.0	2215	tags=48%, list=27%, signal=66%	
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742		82	-0.47318575	-1.5774738	0.0034843206	0.05791174	1.0	1595	tags=37%, list=19%, signal=45%	
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830		22	-0.62117195	-1.5770985	0.018229166	0.057929784	1.0	1477	tags=45%, list=18%, signal=55%	
FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 81%2871837	FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 81%2871837		70	-0.48458126	-1.5754393	0.006535948	0.05875242	1.0	1422	tags=44%, list=17%, signal=53%	
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754		40	-0.532177	-1.5724936	0.01058201	0.06029694	1.0	1446	tags=45%, list=18%, signal=54%	
NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000059	NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000059		35	-0.55945784	-1.5724736	0.013089005	0.060127243	1.0	815	tags=29%, list=10%, signal=32%	
DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0030330	DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0030330		21	-0.61878437	-1.5690581	0.012224939	0.06192034	1.0	1768	tags=43%, list=22%, signal=55%	
NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20240310%WP4753%HOMO SAPIENS	NUCLEOTIDE EXCISION REPAIR%WIKIPATHWAYS_20240310%WP4753%HOMO SAPIENS		26	-0.5929013	-1.567716	0.012658228	0.0625172	1.0	2555	tags=58%, list=31%, signal=84%	
RNA POL II CTD PHOSPHORYLATION AND INTERACTION WITH CE%REACTOME%R-HSA-77075.4	RNA POL II CTD PHOSPHORYLATION AND INTERACTION WITH CE%REACTOME%R-HSA-77075.4		23	-0.6068869	-1.5676076	0.0325	0.062388353	1.0	2548	tags=61%, list=31%, signal=88%	
CHAPERONE MEDIATED AUTOPHAGY%REACTOME DATABASE ID RELEASE 81%9613829	CHAPERONE MEDIATED AUTOPHAGY%REACTOME DATABASE ID RELEASE 81%9613829		17	-0.6627246	-1.5670774	0.018604651	0.062468022	1.0	1133	tags=41%, list=14%, signal=48%	
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145		42	-0.5336301	-1.5666001	0.0057471264	0.06251789	1.0	1446	tags=45%, list=18%, signal=55%	
REGULATION OF RUNX3 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 81%8941858	REGULATION OF RUNX3 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 81%8941858		48	-0.52606857	-1.5663984	0.00949367	0.06244457	1.0	1422	tags=54%, list=17%, signal=65%	
RNA POL II CTD PHOSPHORYLATION AND INTERACTION WITH CE DURING HIV INFECTION%REACTOME%R-HSA-167160.4	RNA POL II CTD PHOSPHORYLATION AND INTERACTION WITH CE DURING HIV INFECTION%REACTOME%R-HSA-167160.4		23	-0.6068869	-1.5657169	0.013856813	0.06266035	1.0	2548	tags=61%, list=31%, signal=88%	
RNA POLYMERASE I PROMOTER ESCAPE%REACTOME%R-HSA-73772.7	RNA POLYMERASE I PROMOTER ESCAPE%REACTOME%R-HSA-73772.7		21	-0.6187047	-1.5652522	0.019607844	0.062696666	1.0	1391	tags=38%, list=17%, signal=46%	
RIBOSOME DISASSEMBLY%GOBP%GO:0032790	RIBOSOME DISASSEMBLY%GOBP%GO:0032790		25	-0.6094132	-1.5611736	0.017721519	0.06481626	1.0	2304	tags=56%, list=28%, signal=78%	
NEGATIVE REGULATION OF PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:1903051	NEGATIVE REGULATION OF PROTEOLYSIS INVOLVED IN PROTEIN CATABOLIC PROCESS%GOBP%GO:1903051		42	-0.5290746	-1.560102	0.013550135	0.065321535	1.0	815	tags=24%, list=10%, signal=26%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 81%202433	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 81%202433		24	-0.60663426	-1.559684	0.017632242	0.065405086	1.0	1106	tags=46%, list=14%, signal=53%	
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%R-HSA-110373.4	RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%R-HSA-110373.4		19	-0.6182795	-1.5564287	0.026506023	0.06731602	1.0	2418	tags=68%, list=30%, signal=97%	
NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841	NEGATIVE REGULATION OF MITOTIC METAPHASE/ANAPHASE TRANSITION%GOBP%GO:0045841		15	-0.69719476	-1.5559118	0.02027027	0.06743625	1.0	853	tags=27%, list=10%, signal=30%	
PYROPTOSIS%GOBP%GO:0070269	PYROPTOSIS%GOBP%GO:0070269		21	-0.62127507	-1.5523667	0.026699029	0.06959418	1.0	1330	tags=33%, list=16%, signal=40%	
TRNA MODIFICATION%GOBP%GO:0006400	TRNA MODIFICATION%GOBP%GO:0006400		50	-0.5038825	-1.5515457	0.0062305294	0.06986344	1.0	2368	tags=52%, list=29%, signal=73%	
